5.1;440.337;0;83.375;440.337;40.337;0.337;0.33703;3.70E-02;7.03E-03;5.1;440.337;0;83.375;440.337;40.337;0.337;0.33703;3.70E-02;7.03E-03
5.2;440.32;0;83.375;440.32;40.32;0.3201;0.32012;2.01E-02;1.17E-04;5.2;440.32;0;83.375;440.32;40.32;0.3201;0.32012;2.01E-02;1.17E-04
5.3;440.331;0;83.375;440.331;40.331;0.331;0.33101;3.10E-02;1.01E-03;5.3;440.331;0;83.375;440.331;40.331;0.331;0.33101;3.10E-02;1.01E-03
5.4;440.404;0;83.375;440.404;40.404;0.4043;0.40434;4.34E-03;4.34E-03;5.4;440.404;0;83.375;440.404;40.404;0.4043;0.40434;4.34E-03;4.34E-03
5.5;440.456;0;83.375;440.456;40.456;0.4556;0.4556;5.56E-02;5.60E-03;5.5;440.456;0;83.375;440.456;40.456;0.4556;0.4556;5.56E-02;5.60E-03
5.6;440.445;0;83.375;440.445;40.445;0.4453;0.44532;4.53E-02;5.32E-03;5.6;440.445;0;83.375;440.445;40.445;0.4453;0.44532;4.53E-02;5.32E-03
5.7;440.44;0;83.375;440.44;40.44;0.4401;0.44007;4.01E-02;6.71E-05;5.7;440.44;0;83.375;440.44;40.44;0.4401;0.44007;4.01E-02;6.71E-05
5.8;440.511;0;83.375;440.511;40.511;0.5112;0.51121;1.12E-02;1.21E-03;5.8;440.511;0;83.375;440.511;40.511;0.5112;0.51121;1.12E-02;1.21E-03
5.9;440.559;0;83.375;440.559;40.559;0.5595;0.55948;5.95E-02;9.48E-03;5.9;440.559;0;83.375;440.559;40.559;0.5595;0.55948;5.95E-02;9.48E-03
6.0;440.549;0;83.375;440.549;40.549;0.5494;0.54938;4.94E-02;9.38E-03;6;440.549;0;83.375;440.549;40.549;0.5494;0.54938;4.94E-02;9.38E-03
6.1;440.558;0;83.375;440.558;40.558;0.5579;0.55792;5.79E-02;7.92E-03;6.1;440.558;0;83.375;440.558;40.558;0.5579;0.55792;5.79E-02;7.92E-03
